id;long_deg;lat_deg;Time_s_AVG;Relevage;Actif/passif;traction;patinage
26452;4.387955556;50.53965278;31777.99414;30.88;1;450;6.8
15387;4.387977778;50.53872778;20712.55757;30.88;1;1170;6
16899;4.387997222;50.53888056;22224.50337;30.88;1;1575;5.1
62823;4.387508333;50.54139444;115402.8006;30.88;1;8550;0
29368;4.387905556;50.53986944;34693.81397;30.84;1;-1080;3
31012;4.394422222;50.541575;36337.7085;30.84;1;-540;8.7
458;4.394361111;50.53946944;5784.304606;30.84;1;2520;0
63160;4.3878;50.53794722;115739.7965;30.8;1;-12150;13.8
63159;4.387797222;50.53795556;115738.7946;30.8;1;-11970;20.2
63158;4.387794444;50.53796389;115737.7906;30.8;1;-10845;18.9
63177;4.387819444;50.53778056;115756.7868;30.8;1;-10170;16.8
63023;4.387694444;50.53963889;115602.8066;30.8;1;-9630;20.4
63176;4.387816667;50.53778889;115755.7846;30.8;1;-8820;14.5
63157;4.387788889;50.537975;115736.7844;30.8;1;-8100;14.9
63178;4.387819444;50.53777222;115757.789;30.8;1;-8055;16.3
63022;4.387694444;50.53964722;115601.8051;30.8;1;-7740;17.5
63175;4.387816667;50.5378;115754.7831;30.8;1;-7155;12.4
63062;4.387755556;50.53919167;115641.7916;30.8;1;-6975;13.6
63079;4.387777778;50.538975;115658.7844;30.8;1;-6795;10.2
62981;4.387672222;50.54007778;115560.8141;30.8;1;-6660;4.5
63064;4.387755556;50.53916667;115643.7945;30.8;1;-6345;13.8
63018;4.387688889;50.53969167;115597.7962;30.8;1;-6255;13.6
63078;4.387777778;50.53898889;115657.7821;30.8;1;-6255;10.8
63085;4.387775;50.53889722;115664.7975;30.8;1;-6120;13.3
62998;4.387666667;50.53986944;115577.8014;30.8;1;-5850;14.6
62972;4.387666667;50.54019722;115551.794;30.8;1;-5490;12
63084;4.387777778;50.53890833;115663.7967;30.8;1;-5490;15.4
62982;4.387672222;50.54006389;115561.8167;30.8;1;-5355;12.8
